academicyear,instname,city,state,zip,sector_revised,carnegie2000,fte_count,grant01,tuitionfee02_tf,grad_rate_150_p4yr
2004,Alabama A & M University,Normal,AL,35762,Public,16,5880.707946,10124766,3352,32.7638190955
2004,University of Alabama at Birmingham,Birmingham,AL,35294-011,Public,15,13021.781629,9963501,4274,37.7323420074
2004,University of Alabama in Huntsville,Huntsville,AL,35899,Public,16,5495.088514,3639435,4126,44.5585215606
2004,Alabama State University,Montgomery,AL,36101-027,Public,21,5064.773412,10800787,3600,22.6169844021
2004,The University of Alabama,Tuscaloosa,AL,35487-016,Public,15,18302.413224,10734748,4134,60.8779360801
2004,Auburn University-Montgomery,Montgomery,AL,36117-359,Public,21,3928.146594,4500768,4130,28.6419753086
2004,Auburn University Main Campus,Auburn University,AL,36849,Public,15,21271.348563,7122104,4426,64.9698960044
2004,Birmingham Southern College,Birmingham,AL,35254,Private Not-For-Profit,31,1347.50744,464076,18964,70.1298701299
2004,Faulkner University,Montgomery,AL,36109-337,Private Not-For-Profit,32,2057.785776,3991499,9750,29.4416243655
2004,Jacksonville State University,Jacksonville,AL,36265,Public,21,7322.59939,8449494,3540,36.0372340426
2004,University of West Alabama,Livingston,AL,35470,Public,21,2044.644818,2450073,3710,32.8445747801
2004,Miles College,Fairfield,AL,35064,Private Not-For-Profit,32,1593.21427,4570623,5508,72.3529411765
2004,University of Mobile,Mobile,AL,36663-022,Private Not-For-Profit,21,1502.127733,2085793,9520,46.3855421687
2004,University of Montevallo,Montevallo,AL,35115,Public,21,2766.457951,1964805,3866,43.1683168317
2004,University of North Alabama,Florence,AL,35632-000,Public,21,4768.692953,4054884,3490,36.7149758454
2004,Oakwood College,Huntsville,AL,35896,Private Not-For-Profit,32,1671.64283,2422809,10708,50.7645259939
2004,Samford University,Birmingham,AL,35229-224,Private Not-For-Profit,21,4108.531272,997546,13154,68.16
2004,University of South Alabama,Mobile,AL,36688-000,Public,16,10947.701665,9855000,3770,33.5249042146
2004,Spring Hill College,Mobile,AL,36608-179,Private Not-For-Profit,21,1224.98649,1027177,19000,61.5702479339
2004,Stillman College,Tuscaloosa,AL,35403,Private Not-For-Profit,32,1147.785702,2850993,8718,16.1971830986
2004,Troy University,Troy,AL,36082-000,Public,21,16310.21396,15343728,3842,45.4648526077
2004,Tuskegee University,Tuskegee,AL,36088-192,Private Not-For-Profit,21,2682.457598,3793610,11310,47.7306002928
2004,University of Alaska Fairbanks,Fairbanks,AK,99775-748,Public,16,18586.017828,9009460,3850,23.3466933868
2004,Arizona State University at the Tempe Campus,Tempe,AZ,85287,Public,15,41617.111792,30268000,3595,54.576057227
2004,University of Arizona,Tucson,AZ,85721-006,Public,15,32835.493533,18925000,3603,57.0558176101
2004,DeVry University-Arizona,Phoenix,AZ,85021-299,Private For-Profit,54,1936.448938,,10280,37.2693726937
2004,Grand Canyon University,Phoenix,AZ,85017,Private For-Profit,21,2009.105065,1172170,14500,44.8275862069
2004,Northern Arizona University,Flagstaff,AZ,86011-413,Public,16,15032.122567,11740782,3530,50.1688374337
2004,University of Phoenix-Phoenix-Hohokam Campus,Phoenix,AZ,85040-195,Private For-Profit,55,11599,6533068,8760,9.09090909091
2004,Western International University,Phoenix,AZ,85021,Private For-Profit,21,2138,488172,8785,45.4545454545
2004,University of Arkansas at Little Rock,Little Rock,AR,72204,Public,16,8718.956759,11089454,3549,25.549132948
2004,University of Arkansas Main Campus,Fayetteville,AR,72701,Public,15,14076.401948,8952886,4768,52.8908794788
2004,University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,Public,32,3011.915999,6585781,3687,28.7101248266
2004,Arkansas State University-Main Campus,State University,AR,72467,Public,21,8873.351278,12448035,4810,36.1290322581
2004,Arkansas Tech University,Russellville,AR,72801-222,Public,21,5626.030935,7280510,3574,37.2549019608
2004,University of Arkansas at Monticello,Monticello,AR,71656,Public,32,2539.834789,4967356,3385,25.9340659341
2004,University of Central Arkansas,Conway,AR,72035-000,Public,21,8876.051499,9146257,4505,38.0649267982
2004,Harding University,Searcy,AR,72143,Private Not-For-Profit,22,4578.403207,3777748,10120,60.4625550661
2004,Henderson State University,Arkadelphia,AR,71999-000,Public,21,3131.801041,4269608,3829,27.9069767442
2004,Hendrix College,Conway,AR,72032-308,Private Not-For-Profit,31,1047.464283,607643,15630,67.8125
2004,John Brown University,Siloam Springs,AR,72761,Private Not-For-Profit,32,1682.85867,1229782,13716,61.4457831325
2004,Ouachita Baptist University,Arkadelphia,AR,71998-000,Private Not-For-Profit,32,1503.892851,1250564,12388,57.182320442
2004,Southern Arkansas University Main Campus,Magnolia,AR,71753,Public,21,2678.810933,3905202,3496,37.3443983402
2004,Academy of Art University,San Francisco,CA,94105,Private For-Profit,56,5321.692182,4102596,13340,34.0425531915
2004,American Intercontinental University,Los Angeles,CA,90066,Private For-Profit,56,1150.086325,3595160,22800,67.3469387755
2004,Art Center College of Design,Pasadena,CA,91103,Private Not-For-Profit,56,1501,2261000,22344,72.972972973
2004,Azusa Pacific University,Azusa,CA,91702-700,Private Not-For-Profit,21,6240.643699,2510095,19244,62.2549019608
2004,Biola University,La Mirada,CA,90639-000,Private Not-For-Profit,16,4291.6589,2058000,19564,62.473347548
2004,Brooks Institute of Photography,Santa Barbara,CA,93103,Private For-Profit,56,2154,2550010,20250,72.7272727273
2004,California Baptist University,Riverside,CA,92504-329,Private Not-For-Profit,21,1914.329357,1896909,14684,58.0188679245
2004,California College of the Arts,Oakland,CA,94618-148,Private Not-For-Profit,56,1389.177712,1023189,23250,44.1860465116
2004,California Institute of Technology,Pasadena,CA,91125,Private Not-For-Profit,15,2172,446000,24117,88.5826771654
2004,California Lutheran University,Thousand Oaks,CA,91360-278,Private Not-For-Profit,21,2502.631651,737656,20400,63.4674922601
2004,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,Public,21,17573.758323,8696487,3508,68.7168141593
2004,California State University-Bakersfield,Bakersfield,CA,93311-109,Public,21,6617.126848,7898390,2419,37.5796178344
2004,California State University-Stanislaus,Turlock,CA,95382,Public,21,6225.144803,7228575,2503,45.4954954955
2004,California State University-San Bernardino,San Bernardino,CA,92407-239,Public,21,13786.68598,17921746,2582,41.4794007491
2004,California State Polytechnic University-Pomona,Pomona,CA,91768,Public,21,17083.707421,18645560,2500,42.4495818987
2004,California State University-Chico,Chico,CA,95929-015,Public,21,14375.823489,14379608,2796,51.027027027
2004,California State University-Dominguez Hills,Carson,CA,90747-000,Public,21,9469.374615,12126286,2483,34.8387096774
2004,California State University-Fresno,Fresno,CA,93740,Public,21,18722.515558,22765348,2418,45.8492975734
2004,California State University-Fullerton,Fullerton,CA,92831-359,Public,21,25571.625483,19979328,2516,49.4874184529
2004,California State University-East Bay,Hayward,CA,94542,Public,21,10853.966781,8668562,2418,40.5737704918
2004,California State University-Long Beach,Long Beach,CA,90840-011,Public,21,28400.755799,25073592,2362,46.455505279
2004,California State University-Los Angeles,Los Angeles,CA,90032,Public,21,15862.27185,20263576,2441,34.3426294821
2004,California State University-Northridge,Northridge,CA,91330,Public,21,26827.100712,32117042,2444,36.3190730838
2004,California State University-Sacramento,Sacramento,CA,95819-269,Public,21,23391.025819,21103608,2518,39.672801636
2004,University of California-Berkeley,Berkeley,CA,94720,Public,15,31497.716488,22888000,5858,86.5687583445
2004,University of California-Davis,Davis,CA,95616-867,Public,15,27641.029048,20067000,6438,81.4529220779
2004,University of California-Irvine,Irvine,CA,92697,Public,15,23512.922388,17734000,6165,79.7829036635
2004,University of California-Los Angeles,Los Angeles,CA,90095,Public,15,36145.642589,28055000,5820,87.2380952381
2004,University of California-Riverside,Riverside,CA,92521,Public,15,16428.522733,19430000,5951,64.384787472
2004,University of California-San Diego,La Jolla,CA,92093,Public,15,23475.834903,18225000,6105,82.645375113
2004,University of California-Santa Barbara,Santa Barbara,CA,93106,Public,15,20358.242661,13207000,6148,75.1966292135
2004,University of California-Santa Cruz,Santa Cruz,CA,95064,Public,15,14560.488732,9800000,6191,69.3806842789
2004,California Institute of the Arts,Valencia,CA,91355-239,Private Not-For-Profit,56,1258.981721,757680,24695,64.2857142857
2004,Chapman University,Orange,CA,92866,Private Not-For-Profit,21,9008.837871,3081156,24590,65.234375
2004,Concordia University,Irvine,CA,92612-329,Private Not-For-Profit,22,1575.7042,858796,17990,51.0989010989
2004,Claremont McKenna College,Claremont,CA,91711-640,Private Not-For-Profit,31,1137,390012,27700,90.8424908425
2004,DeVry University-California,Pomona,CA,91768-264,Private For-Profit,32,6102.358809,,10880,36.8776371308
2004,Dominican University of California,San Rafael,CA,94901-229,Private Not-For-Profit,21,1405.037112,882713,22650,50.0
2004,Fresno Pacific University,Fresno,CA,93702-470,Private Not-For-Profit,21,1586.144781,1543964,17592,64.9350649351
2004,Golden Gate University-San Francisco,San Francisco,CA,94105-296,Private Not-For-Profit,55,2594.309085,203003,11232,5.55555555556
2004,Humboldt State University,Arcata,CA,95521-829,Public,21,7035.071961,8921459,2539,40.6292749658
2004,Art Institute of California-San Diego,San Diego,CA,92108-442,Private For-Profit,56,1262.821413,1511414,17040,61.7021276596
2004,University of La Verne,La Verne,CA,91750-440,Private Not-For-Profit,16,5356.601375,3404476,20500,47.3520249221
2004,Loma Linda University,Loma Linda,CA,92350,Private Not-For-Profit,16,4605.629653,2725967,20800,33.7606837607
2004,The Master's College and Seminary,Santa Clarita,CA,91321-120,Private Not-For-Profit,32,1247.947656,797190,17200,60.8187134503
2004,Loyola Marymount University,Los Angeles,CA,90045-265,Private Not-For-Profit,21,8013.215082,3533736,23938,73.9086294416
2004,Mills College,Oakland,CA,94613,Private Not-For-Profit,31,1138.337985,,24441,65.3543307087
2004,Mount St Mary's College,Los Angeles,CA,90049-159,Private Not-For-Profit,21,1769.540512,2387477,20456,57.9310344828
2004,National University,La Jolla,CA,92037-101,Private Not-For-Profit,21,13148.092634,2853762,8550,71.4285714286
2004,Notre Dame de Namur University,Belmont,CA,94002-190,Private Not-For-Profit,21,1253.590047,675370,20150,53.0769230769
2004,Occidental College,Los Angeles,CA,90041-339,Private Not-For-Profit,31,1842.735041,1332846,28092,74.8677248677
2004,Otis College of Art and Design,Los Angeles,CA,90045-350,Private Not-For-Profit,56,1047.656134,1228411,23420,42.5742574257
2004,Pacific Union College,Angwin,CA,94508-970,Private Not-For-Profit,32,1446.321427,1167467,17235,28.1746031746
2004,University of the Pacific,Stockton,CA,95211-019,Private Not-For-Profit,16,5712.093945,3342185,23600,69.9626865672
2004,Pepperdine University,Malibu,CA,90263,Private Not-For-Profit,16,6089.339802,1634000,27520,77.1084337349
2004,Point Loma Nazarene University,San Diego,CA,92106-289,Private Not-For-Profit,22,2831.057718,1166981,18500,55.3511705686
2004,Pomona College,Claremont,CA,91711-631,Private Not-For-Profit,31,1529,429000,27150,89.898989899
2004,University of Redlands,Redlands,CA,92373-099,Private Not-For-Profit,21,4309.136175,1962528,24096,59.8607888631
2004,San Diego State University,San Diego,CA,92182,Public,16,28312.349961,22767066,2488,46.4833759591
2004,University of San Diego,San Diego,CA,92110-249,Private Not-For-Profit,16,6628.638428,2096485,23594,73.2490272374
2004,San Francisco State University,San Francisco,CA,94132,Public,21,24179.022949,20581088,2480,40.3324099723
2004,University of San Francisco,San Francisco,CA,94117-108,Private Not-For-Profit,16,7623.342178,3100000,23340,65.9375
